No. moves  % accept.        E_tot           E_sr
     1338    48.7909        -7037.890       -7037.890
     1340    48.7926        -7040.687       -7040.687
     1342    48.7928        -7010.584       -7010.584
     1344    48.7935        -7018.602       -7018.602
     1346    48.7937        -7043.137       -7043.137
     1348    48.7957        -7047.025       -7047.025
     1350    48.7965        -7089.354       -7089.354
     1352    48.7986        -7092.650       -7092.650
     1354    48.8000        -7069.476       -7069.476
     1356    48.8012        -7067.578       -7067.578
     1358    48.8032        -7065.406       -7065.406
     1360    48.8043        -7054.634       -7054.634
     1362    48.8052        -7039.410       -7039.410
     1364    48.8050        -7037.536       -7037.536
     1366    48.8071        -7020.515       -7020.515
     1368    48.8084        -7017.201       -7017.201
     1370    48.8105        -6998.089       -6998.089
