No. moves  % accept.       <E_tot>         <E_sr>
     11028    49.6971        -7015.980       -7015.980
     11030    49.6969        -7015.880       -7015.880
     11032    49.6968        -7015.872       -7015.872
     11034    49.6968        -7015.877       -7015.877
     11036    49.6968        -7015.897       -7015.897
     11038    49.6967        -7015.963       -7015.963
     11040    49.6969        -7015.985       -7015.985
     11042    49.6966        -7015.978       -7015.978
     11044    49.6966        -7015.970       -7015.970
     11046    49.6967        -7015.973       -7015.973
     11048    49.6968        -7015.940       -7015.940
     11050    49.6968        -7015.904       -7015.904
     11052    49.6968        -7015.889       -7015.889
     11054    49.6968        -7015.915       -7015.915
     11056    49.6967        -7015.930       -7015.930
     11058    49.6966        -7015.922       -7015.922
     11060    49.6965        -7015.912       -7015.912
     11062    49.6966        -7015.974       -7015.974
     11064    49.6967        -7016.039       -7016.039
     11066    49.6967        -7016.020       -7016.020
     11068    49.6968        -7016.001       -7016.001
     11070    49.6968        -7016.008       -7016.008
     11072    49.6965        -7016.029       -7016.029
     11074    49.6966        -7016.044       -7016.044
     11076    49.6968        -7016.030       -7016.030
     11078    49.6968        -7016.052       -7016.052
     11080    49.6965        -7016.110       -7016.110
     11082    49.6964        -7016.166       -7016.166
     11084    49.6963        -7016.194       -7016.194
     11086    49.6962        -7016.226       -7016.226
     11088    49.6963        -7016.290       -7016.290
     11090    49.6964        -7016.332       -7016.332
     11092    49.6964        -7016.363       -7016.363
     11094    49.6965        -7016.385       -7016.385
     11096    49.6964        -7016.419       -7016.419
     11098    49.6965        -7016.431       -7016.431
     11100    49.6965        -7016.485       -7016.485
     11102    49.6966        -7016.485       -7016.485
     11104    49.6965        -7016.527       -7016.527
     11106    49.6966        -7016.552       -7016.552
     11108    49.6965        -7016.612       -7016.612
     11110    49.6964        -7016.661       -7016.661
     11112    49.6964        -7016.676       -7016.676
     11114    49.6964        -7016.659       -7016.659
     11116    49.6965        -7016.627       -7016.627
     11118    49.6966        -7016.646       -7016.646
     11120    49.6967        -7016.687       -7016.687
     11122    49.6968        -7016.772       -7016.772
     11124    49.6968        -7016.835       -7016.835
