No. moves  % accept.        E_tot           E_sr
     1154    48.7222        -6994.527       -6994.527
     1156    48.7244        -6965.651       -6965.651
     1158    48.7262        -6966.518       -6966.518
     1160    48.7274        -6984.988       -6984.988
     1162    48.7282        -6979.842       -6979.842
     1164    48.7304        -6988.379       -6988.379
     1166    48.7317        -6988.392       -6988.392
     1168    48.7339        -6986.638       -6986.638
     1170    48.7374        -6974.153       -6974.153
     1172    48.7378        -6994.862       -6994.862
     1174    48.7389        -6969.425       -6969.425
     1176    48.7405        -6991.087       -6991.087
     1178    48.7429        -7000.575       -7000.575
     1180    48.7461        -7001.586       -7001.586
     1182    48.7488        -6995.901       -6995.901
     1184    48.7500        -6970.881       -6970.881
     1186    48.7522        -6977.073       -6977.073
     1188    48.7541        -6979.600       -6979.600
     1190    48.7553        -6986.388       -6986.388
     1192    48.7575        -6986.979       -6986.979
     1194    48.7590        -7016.680       -7016.680
     1196    48.7599        -7024.040       -7024.040
     1198    48.7629        -7031.085       -7031.085
     1200    48.7649        -7028.913       -7028.913
     1202    48.7668        -7019.868       -7019.868
     1204    48.7686        -7034.351       -7034.351
     1206    48.7703        -7016.649       -7016.649
     1208    48.7718        -6972.116       -6972.116
     1210    48.7757        -7016.488       -7016.488
     1212    48.7784        -7017.053       -7017.053
     1214    48.7799        -7012.638       -7012.638
     1216    48.7829        -7032.130       -7032.130
     1218    48.7848        -7043.645       -7043.645
     1220    48.7856        -7045.007       -7045.007
     1222    48.7869        -7044.198       -7044.198
     1224    48.7878        -7016.432       -7016.432
     1226    48.7902        -7007.150       -7007.150
     1228    48.7918        -7027.248       -7027.248
     1230    48.7942        -7025.351       -7025.351
     1232    48.7969        -7035.938       -7035.938
     1234    48.7990        -7021.384       -7021.384
     1236    48.8004        -6997.145       -6997.145
     1238    48.8012        -7021.277       -7021.277
     1240    48.8042        -7055.279       -7055.279
     1242    48.8061        -7062.634       -7062.634
     1244    48.8079        -7055.257       -7055.257
     1246    48.8081        -7043.638       -7043.638
     1248    48.8089        -7025.548       -7025.548
     1250    48.8103        -7027.959       -7027.959
     1252    48.8106        -7045.796       -7045.796
     1254    48.8124        -7039.610       -7039.610
     1256    48.8135        -7044.011       -7044.011
     1258    48.8155        -7037.619       -7037.619
     1260    48.8188        -6998.406       -6998.406
     1262    48.8200        -7000.302       -7000.302
     1264    48.8205        -7003.273       -7003.273
     1266    48.8226        -7016.267       -7016.267
     1268    48.8232        -6992.799       -6992.799
     1270    48.8248        -7005.549       -7005.549
     1272    48.8266        -7004.726       -7004.726
     1274    48.8283        -7002.933       -7002.933
     1276    48.8308        -7013.902       -7013.902
     1278    48.8308        -7005.685       -7005.685
     1280    48.8316        -7004.885       -7004.885
     1282    48.8327        -7013.596       -7013.596
     1284    48.8345        -7002.384       -7002.384
     1286    48.8362        -7013.323       -7013.323
     1288    48.8382        -7016.653       -7016.653
     1290    48.8396        -7045.395       -7045.395
     1292    48.8405        -7032.655       -7032.655
     1294    48.8414        -7046.239       -7046.239
     1296    48.8431        -7038.219       -7038.219
     1298    48.8454        -7015.232       -7015.232
     1300    48.8489        -7029.383       -7029.383
     1302    48.8514        -7003.655       -7003.655
     1304    48.8525        -6991.221       -6991.221
     1306    48.8544        -6987.131       -6987.131
     1308    48.8560        -7007.601       -7007.601
     1310    48.8570        -6994.388       -6994.388
     1312    48.8582        -7006.630       -7006.630
     1314    48.8600        -6989.606       -6989.606
     1316    48.8623        -6990.822       -6990.822
     1318    48.8627        -7021.839       -7021.839
     1320    48.8646        -7035.061       -7035.061
     1322    48.8665        -7018.629       -7018.629
     1324    48.8699        -7009.521       -7009.521
     1326    48.8702        -7016.869       -7016.869
     1328    48.8708        -7017.521       -7017.521
     1330    48.8732        -7017.848       -7017.848
     1332    48.8737        -7012.743       -7012.743
     1334    48.8746        -7005.549       -7005.549
     1336    48.8754        -7025.863       -7025.863
     1338    48.8790        -7028.175       -7028.175
     1340    48.8819        -7004.392       -7004.392
     1342    48.8843        -7022.148       -7022.148
     1344    48.8869        -7015.141       -7015.141
     1346    48.8887        -7046.890       -7046.890
     1348    48.8894        -7032.183       -7032.183
     1350    48.8918        -7032.052       -7032.052
     1352    48.8924        -7017.486       -7017.486
     1354    48.8944        -7013.139       -7013.139
     1356    48.8945        -7029.466       -7029.466
     1358    48.8955        -7005.377       -7005.377
     1360    48.8972        -7037.398       -7037.398
     1362    48.8981        -7033.804       -7033.804
     1364    48.8989        -7056.393       -7056.393
     1366    48.8998        -7024.063       -7024.063
     1368    48.9002        -7013.571       -7013.571
     1370    48.9015        -7036.690       -7036.690
