No. moves  % accept.   % accept. vol.   <E_tot>      <E_sr>    <Vol>      <Lx>     <Ly>    <Lz>
     10498    85.6428    55.2581    -358.437       -358.437      470843584.90      777.85843      777.85843      777.85843
     10500    85.6449    55.2571    -358.454       -358.454      470951125.89      777.91698      777.91698      777.91698
     10502    85.6470    55.2657    -358.467       -358.467      471058021.10      777.97518      777.97518      777.97518
     10504    85.6491    55.2647    -358.467       -358.467      471164582.91      778.03319      778.03319      778.03319
     10506    85.6512    55.2732    -358.443       -358.443      471271020.11      778.09113      778.09113      778.09113
     10508    85.6533    55.2817    -358.408       -358.408      471376779.53      778.14869      778.14869      778.14869
     10510    85.6554    55.2902    -358.381       -358.381      471481980.07      778.20594      778.20594      778.20594
     10512    85.6576    55.2892    -358.345       -358.345      471587995.89      778.26362      778.26362      778.26362
     10514    85.6597    55.2977    -358.301       -358.301      471695088.47      778.32185      778.32185      778.32185
     10516    85.6617    55.3062    -358.263       -358.263      471802570.09      778.38028      778.38028      778.38028
     10518    85.6638    55.3052    -358.221       -358.221      471908997.37      778.43814      778.43814      778.43814
     10520    85.6660    55.3137    -358.185       -358.185      472017195.17      778.49692      778.49692      778.49692
     10522    85.6681    55.3032    -358.149       -358.149      472124563.88      778.55526      778.55526      778.55526
     10524    85.6701    55.3022    -358.105       -358.105      472232501.29      778.61388      778.61388      778.61388
     10526    85.6722    55.3012    -358.084       -358.084      472340706.01      778.67263      778.67263      778.67263
     10528    85.6743    55.3002    -358.071       -358.071      472449813.49      778.73185      778.73185      778.73185
     10530    85.6764    55.3086    -358.019       -358.019      472557647.96      778.79038      778.79038      778.79038
     10532    85.6785    55.3171    -357.997       -357.997      472666294.55      778.84933      778.84933      778.84933
     10534    85.6806    55.3256    -357.967       -357.967      472775878.04      778.90876      778.90876      778.90876
     10536    85.6827    55.3151    -357.959       -357.959      472884643.75      778.96775      778.96775      778.96775
     10538    85.6847    55.3141    -357.920       -357.920      472994689.35      779.02740      779.02740      779.02740
     10540    85.6868    55.3131    -357.906       -357.906      473105857.14      779.08764      779.08764      779.08764
