No. moves  % accept.   % accept. vol.   <E_tot>      <E_sr>    <Vol>      <Lx>     <Ly>    <Lz>
     10456    85.6639    55.9200    -308.871       -308.871      470524806.45      777.65870      777.65870      777.65870
     10458    85.6661    55.9189    -308.810       -308.810      470659452.79      777.73189      777.73189      777.73189
     10460    85.6682    55.9273    -308.739       -308.739      470792254.13      777.80408      777.80408      777.80408
     10462    85.6704    55.9262    -308.670       -308.670      470923806.67      777.87560      777.87560      777.87560
     10464    85.6727    55.9346    -308.613       -308.613      471054781.87      777.94680      777.94680      777.94680
     10466    85.6748    55.9431    -308.558       -308.558      471184617.23      778.01737      778.01737      778.01737
     10468    85.6770    55.9419    -308.457       -308.457      471315070.65      778.08826      778.08826      778.08826
     10470    85.6793    55.9408    -308.371       -308.371      471444225.63      778.15844      778.15844      778.15844
     10472    85.6815    55.9492    -308.270       -308.270      471575724.53      778.22985      778.22985      778.22985
     10474    85.6837    55.9576    -308.173       -308.173      471706440.71      778.30082      778.30082      778.30082
     10476    85.6859    55.9469    -308.088       -308.088      471836058.43      778.37120      778.37120      778.37120
     10478    85.6881    55.9458    -308.028       -308.028      471965547.37      778.44149      778.44149      778.44149
     10480    85.6903    55.9447    -307.953       -307.953      472094160.18      778.51130      778.51130      778.51130
     10482    85.6924    55.9435    -307.880       -307.880      472223841.28      778.58166      778.58166      778.58166
     10484    85.6946    55.9424    -307.819       -307.819      472353761.55      778.65213      778.65213      778.65213
     10486    85.6969    55.9413    -307.769       -307.769      472484137.08      778.72282      778.72282      778.72282
     10488    85.6990    55.9306    -307.722       -307.722      472613443.97      778.79293      778.79293      778.79293
     10490    85.7012    55.9295    -307.686       -307.686      472741834.90      778.86254      778.86254      778.86254
     10492    85.7033    55.9379    -307.631       -307.631      472870893.76      778.93249      778.93249      778.93249
     10494    85.7055    55.9463    -307.587       -307.587      473001332.22      779.00314      779.00314      779.00314
     10496    85.7076    55.9546    -307.526       -307.526      473133607.95      779.07475      779.07475      779.07475
     10498    85.7099    55.9535    -307.443       -307.443      473265420.63      779.14609      779.14609      779.14609
     10500    85.7121    55.9524    -307.381       -307.381      473397874.67      779.21775      779.21775      779.21775
