No. moves  % accept.   % accept. vol.   <E_tot>      <E_sr>    <Vol>      <Lx>     <Ly>    <Lz>
     10408    85.8393    54.6503    -309.349       -309.349      585430053.64      761.12252      755.43401      1017.86389
     10410    85.8415    54.6590    -309.287       -309.287      585573839.98      761.18420      755.49523      1017.94638
     10412    85.8436    54.6677    -309.222       -309.222      585722455.48      761.24789      755.55845      1018.03156
     10414    85.8458    54.6572    -309.151       -309.151      585869635.07      761.31097      755.62106      1018.11592
     10416    85.8480    54.6563    -309.063       -309.063      586016390.93      761.37386      755.68347      1018.20002
     10418    85.8502    54.6650    -308.955       -308.955      586165371.96      761.43767      755.74680      1018.28535
     10420    85.8524    54.6641    -308.826       -308.826      586314377.81      761.50147      755.81013      1018.37067
     10422    85.8546    54.6632    -308.729       -308.729      586463114.20      761.56514      755.87332      1018.45583
     10424    85.8568    54.6719    -308.621       -308.621      586612404.93      761.62903      755.93674      1018.54127
     10426    85.8589    54.6806    -308.527       -308.527      586763439.20      761.69364      756.00086      1018.62767
     10428    85.8611    54.6797    -308.432       -308.432      586913704.21      761.75791      756.06465      1018.71362
     10430    85.8633    54.6788    -308.340       -308.340      587063231.42      761.82186      756.12813      1018.79914
     10432    85.8654    54.6779    -308.235       -308.235      587214126.61      761.88637      756.19215      1018.88541
     10434    85.8675    54.6674    -308.146       -308.146      587363631.06      761.95028      756.25558      1018.97088
     10436    85.8697    54.6665    -308.041       -308.041      587511657.94      762.01356      756.31839      1019.05550
     10438    85.8719    54.6656    -307.935       -307.935      587656692.22      762.07558      756.37995      1019.13844
     10440    85.8741    54.6648    -307.801       -307.801      587801326.28      762.13742      756.44132      1019.22114
     10442    85.8763    54.6639    -307.695       -307.695      587944448.01      762.19861      756.50206      1019.30297
     10444    85.8784    54.6725    -307.613       -307.613      588089171.01      762.26046      756.56344      1019.38568
     10446    85.8806    54.6716    -307.544       -307.544      588233992.89      762.32233      756.62486      1019.46843
     10448    85.8828    54.6708    -307.433       -307.433      588378116.40      762.38390      756.68597      1019.55077
     10450    85.8850    54.6699    -307.320       -307.320      588524143.72      762.44625      756.74785      1019.63415
     10452    85.8872    54.6594    -307.240       -307.240      588668878.77      762.50805      756.80919      1019.71680
     10454    85.8893    54.6585    -307.157       -307.157      588811930.07      762.56914      756.86982      1019.79849
     10456    85.8915    54.6576    -307.048       -307.048      588954752.85      762.63012      756.93034      1019.88003
     10458    85.8936    54.6567    -306.952       -306.952      589096364.19      762.69057      756.99035      1019.96089
     10460    85.8959    54.6558    -306.829       -306.829      589239347.17      762.75159      757.05091      1020.04249
     10462    85.8980    54.6549    -306.736       -306.736      589380884.90      762.81199      757.11086      1020.12326
     10464    85.9002    54.6541    -306.626       -306.626      589521028.03      762.87180      757.17022      1020.20325
     10466    85.9023    54.6532    -306.510       -306.510      589661635.42      762.93179      757.22976      1020.28347
     10468    85.9045    54.6523    -306.378       -306.378      589802158.63      762.99174      757.28926      1020.36364
     10470    85.9067    54.6514    -306.262       -306.262      589942162.05      763.05145      757.34852      1020.44349
     10472    85.9089    54.6409    -306.159       -306.159      590080979.00      763.11066      757.40729      1020.52267
     10474    85.9111    54.6496    -306.036       -306.036      590219872.88      763.16988      757.46607      1020.60187
     10476    85.9133    54.6487    -305.913       -305.913      590358998.87      763.22919      757.52494      1020.68119
     10478    85.9155    54.6574    -305.832       -305.832      590499737.16      763.28916      757.58446      1020.76139
     10480    85.9176    54.6469    -305.740       -305.740      590639302.62      763.34863      757.64348      1020.84092
     10482    85.9198    54.6461    -305.638       -305.638      590776243.62      763.40699      757.70141      1020.91897
     10484    85.9218    54.6356    -305.552       -305.552      590912052.87      763.46488      757.75886      1020.99638
     10486    85.9240    54.6443    -305.457       -305.457      591051301.03      763.52418      757.81772      1021.07568
     10488    85.9262    54.6529    -305.357       -305.357      591190135.85      763.58329      757.87639      1021.15474
     10490    85.9283    54.6520    -305.260       -305.260      591329053.77      763.64243      757.93509      1021.23382
