No. moves  % accept.       <E_tot>         <E_sr>
     10920    49.7369        -7023.749       -7023.749
     10922    49.7370        -7023.777       -7023.777
     10924    49.7371        -7023.813       -7023.813
     10926    49.7372        -7023.872       -7023.872
     10928    49.7373        -7023.901       -7023.901
     10930    49.7372        -7023.924       -7023.924
     10932    49.7373        -7023.918       -7023.918
     10934    49.7373        -7023.886       -7023.886
     10936    49.7373        -7023.898       -7023.898
     10938    49.7373        -7023.887       -7023.887
     10940    49.7374        -7023.856       -7023.856
     10942    49.7372        -7023.825       -7023.825
     10944    49.7371        -7023.867       -7023.867
     10946    49.7371        -7023.831       -7023.831
     10948    49.7371        -7023.806       -7023.806
     10950    49.7371        -7023.820       -7023.820
     10952    49.7371        -7023.821       -7023.821
     10954    49.7371        -7023.774       -7023.774
     10956    49.7370        -7023.722       -7023.722
     10958    49.7368        -7023.709       -7023.709
     10960    49.7367        -7023.779       -7023.779
     10962    49.7365        -7023.864       -7023.864
     10964    49.7366        -7023.951       -7023.951
     10966    49.7365        -7024.044       -7024.044
     10968    49.7365        -7024.142       -7024.142
     10970    49.7363        -7024.203       -7024.203
     10972    49.7362        -7024.250       -7024.250
     10974    49.7361        -7024.400       -7024.400
     10976    49.7361        -7024.510       -7024.510
     10978    49.7361        -7024.626       -7024.626
     10980    49.7361        -7024.773       -7024.773
     10982    49.7361        -7024.904       -7024.904
     10984    49.7360        -7024.952       -7024.952
     10986    49.7362        -7025.000       -7025.000
     10988    49.7359        -7025.037       -7025.037
     10990    49.7360        -7025.096       -7025.096
     10992    49.7360        -7025.173       -7025.173
     10994    49.7358        -7025.237       -7025.237
     10996    49.7360        -7025.259       -7025.259
     10998    49.7359        -7025.329       -7025.329
     11000    49.7359        -7025.430       -7025.430
     11002    49.7358        -7025.560       -7025.560
     11004    49.7358        -7025.611       -7025.611
     11006    49.7359        -7025.689       -7025.689
     11008    49.7360        -7025.728       -7025.728
     11010    49.7361        -7025.789       -7025.789
     11012    49.7360        -7025.855       -7025.855
     11014    49.7361        -7025.928       -7025.928
     11016    49.7359        -7026.048       -7026.048
     11018    49.7360        -7026.122       -7026.122
     11020    49.7358        -7026.131       -7026.131
     11022    49.7357        -7026.139       -7026.139
     11024    49.7358        -7026.041       -7026.041
     11026    49.7357        -7025.968       -7025.968
     11028    49.7358        -7025.860       -7025.860
     11030    49.7359        -7025.743       -7025.743
     11032    49.7359        -7025.622       -7025.622
     11034    49.7361        -7025.488       -7025.488
     11036    49.7362        -7025.434       -7025.434
     11038    49.7361        -7025.379       -7025.379
     11040    49.7363        -7025.353       -7025.353
     11042    49.7362        -7025.326       -7025.326
     11044    49.7362        -7025.329       -7025.329
     11046    49.7361        -7025.339       -7025.339
     11048    49.7360        -7025.368       -7025.368
     11050    49.7360        -7025.403       -7025.403
     11052    49.7361        -7025.424       -7025.424
     11054    49.7360        -7025.385       -7025.385
     11056    49.7360        -7025.269       -7025.269
     11058    49.7360        -7025.179       -7025.179
     11060    49.7358        -7025.126       -7025.126
     11062    49.7360        -7025.095       -7025.095
     11064    49.7360        -7025.115       -7025.115
     11066    49.7360        -7025.143       -7025.143
     11068    49.7360        -7025.186       -7025.186
     11070    49.7361        -7025.220       -7025.220
     11072    49.7358        -7025.301       -7025.301
     11074    49.7359        -7025.354       -7025.354
     11076    49.7361        -7025.368       -7025.368
     11078    49.7362        -7025.368       -7025.368
     11080    49.7362        -7025.370       -7025.370
     11082    49.7360        -7025.432       -7025.432
     11084    49.7360        -7025.487       -7025.487
     11086    49.7359        -7025.471       -7025.471
     11088    49.7359        -7025.395       -7025.395
     11090    49.7360        -7025.328       -7025.328
     11092    49.7361        -7025.315       -7025.315
     11094    49.7362        -7025.244       -7025.244
     11096    49.7364        -7025.150       -7025.150
     11098    49.7365        -7025.089       -7025.089
     11100    49.7366        -7025.086       -7025.086
     11102    49.7366        -7025.097       -7025.097
     11104    49.7368        -7025.128       -7025.128
     11106    49.7367        -7025.229       -7025.229
     11108    49.7367        -7025.319       -7025.319
     11110    49.7369        -7025.384       -7025.384
     11112    49.7369        -7025.417       -7025.417
     11114    49.7369        -7025.408       -7025.408
     11116    49.7370        -7025.354       -7025.354
     11118    49.7371        -7025.302       -7025.302
